Institution_Name,Branch_Name,Address,City,State,ZIP_Code,County_Name,County_FIPS_Code,Branch_ID,FDIC_ID,Total_Deposits_Millions,Est_Year,Geographic_Coordinates
"JPMorgan Chase Bank, National Association",PICO BEVERLY BRANCH,1180 S Beverly Dr,Los Angeles,CA,90035,Los Angeles,,268877,268877,,01/01/1889,
U.S. Bank National Association,FAIRFAX BRANCH,145 S Fairfax Ave,Los Angeles,CA,90036,Los Angeles,,269462,269462,,01/01/1928,
"Citibank, National Association",LOS ANGELES-KOREA TOWN,3530 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,273383,273383,,10/01/1934,
"Citibank, National Association",LOS ANGELES-BOYLE HEIGHTS,3479 E 1st St,Los Angeles,CA,90063,Los Angeles,,273387,273387,,10/01/1934,
"JPMorgan Chase Bank, National Association",888 WEST 7TH STREET BRANCH,725 S Figueroa St,Los Angeles,CA,90017,Los Angeles,,273587,273587,,10/30/1934,
First-Citizens Bank & Trust Company,WESTCHESTER BRANCH,8750 S Sepulveda Blvd,Los Angeles,CA,90045,Los Angeles,,273884,273884,,11/01/1934,
"Citibank, National Association",SILVERLAKE BRANCH,2450 Glendale Blvd,Los Angeles,CA,90039,Los Angeles,,273970,273970,,12/17/1934,
"JPMorgan Chase Bank, National Association",HANCOCK PARK BRANCH,4333 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,275795,275795,,01/01/1919,
"JPMorgan Chase Bank, National Association",CRENSHAW BRANCH,4401 Crenshaw Blvd,Los Angeles,CA,90043,Los Angeles,,275796,275796,,01/01/1919,
"JPMorgan Chase Bank, National Association",FAIRFAX BRANCH,310 N Fairfax Ave,Los Angeles,CA,90036,Los Angeles,,275803,275803,,01/01/1919,
"JPMorgan Chase Bank, National Association",WEST MANCHESTER AVENUE BRANCH,1027 W Manchester Ave,Los Angeles,CA,90044,Los Angeles,,275843,275843,,01/01/1919,
"JPMorgan Chase Bank, National Association",CENTURY CITY BRANCH,10250 Santa Monica Blvd,Los Angeles,CA,90067,Los Angeles,,275869,275869,,01/01/1919,
"JPMorgan Chase Bank, National Association",FOURTH AND HOPE BRANCH,400 S Hope St,Los Angeles,CA,90071,Los Angeles,,275944,275944,,01/01/1919,
"JPMorgan Chase Bank, National Association",EAST LOS ANGELES BRANCH,5301 Whittier Blvd,Los Angeles,CA,90022,Los Angeles,,275975,275975,,01/01/1919,
"JPMorgan Chase Bank, National Association",SEPULVEDA AND LA TIJERA BRANCH,8813 S Sepulveda Blvd,Los Angeles,CA,90045,Los Angeles,,276079,276079,,05/26/1995,
"JPMorgan Chase Bank, National Association",WEST LOS ANGELES BRANCH,11285 National Blvd,Los Angeles,CA,90064,Los Angeles,,276606,276606,,01/01/1925,
"JPMorgan Chase Bank, National Association",LARCHMONT VILLAGE BRANCH,101 N Larchmont Blvd,Los Angeles,CA,90004,Los Angeles,,276722,276722,,04/20/1936,
"Citibank, National Association",LOS ANGELES-CENTURY CITY BRANCH,1900 Avenue Of The Stars,Los Angeles,CA,90067,Los Angeles,,277068,277068,,01/01/1929,
"Citibank, National Association",LOS ANGELES-MOUNT VERNON BRANCH,270 N Vermont Ave,Los Angeles,CA,90004,Los Angeles,,279484,279484,,01/01/1945,
"Citibank, National Association",LOS ANGELES-ECHO PARK BRANCH,1900 W Sunset Blvd,Los Angeles,CA,90026,Los Angeles,,279502,279502,,01/01/1945,
"Citibank, National Association",5015 EAGLE ROCK BLVD BRANCH,5015 Eagle Rock Blvd,Los Angeles,CA,90041,Los Angeles,,279503,279503,,01/01/1945,
"Citibank, National Association",LOS ANGELES-RANCHO PARK PICO BRANCH,10680 W Pico Blvd,Los Angeles,CA,90064,Los Angeles,,279504,279504,,01/01/1945,
"Citibank, National Association",LOS ANGELES-HOLLYWOOD BRANCH,5000 W Sunset Blvd,Los Angeles,CA,90027,Los Angeles,,279505,279505,,01/01/1945,
"Citibank, National Association",LOS ANGELES-WATTS BRANCH,1601 E 103rd St,Los Angeles,CA,90002,Los Angeles,,279513,279513,,01/01/1945,
"Citibank, National Association",LOS ANGELES-EAST WHITTIER,5401 Whittier Blvd,Los Angeles,CA,90022,Los Angeles,,279537,279537,,01/01/1945,
"Citibank, National Association",LOS ANGELES-LOS FELIZ,1859 Hillhurst Ave,Los Angeles,CA,90027,Los Angeles,,279547,279547,,01/01/1945,
"Citibank, National Association",LOS ANGELES-FAIRFAX,300 S Fairfax Ave,Los Angeles,CA,90036,Los Angeles,,279648,279648,,01/01/1945,
"JPMorgan Chase Bank, National Association",WESTCHESTER PLAYA BRANCH,7151 W Manchester Ave,Los Angeles,CA,90045,Los Angeles,,280601,280601,,04/30/1951,
U.S. Bank National Association,LA BREA BRANCH,736 N La Brea Ave,Los Angeles,CA,90038,Los Angeles,,281793,281793,,10/31/1983,
Universal Bank,EAGLE ROCK - BRANCH,2575 Colorado Blvd,Los Angeles,CA,90041,Los Angeles,,281859,281859,,11/17/1954,
"JPMorgan Chase Bank, National Association",BOYLE HEIGHTS BRANCH,2301 E 1st St,Los Angeles,CA,90033,Los Angeles,,283319,283319,,01/01/1958,
"JPMorgan Chase Bank, National Association",SOUTH SOTO STREET BRANCH,1350 S Soto St,Los Angeles,CA,90023,Los Angeles,,285018,285018,,05/05/1965,
"JPMorgan Chase Bank, National Association",PARK LABREA BRANCH,6120 W 3rd St,Los Angeles,CA,90036,Los Angeles,,285038,285038,,05/05/1965,
U.S. Bank National Association,ATWATER BRANCH,3355 Glendale Blvd,Los Angeles,CA,90039,Los Angeles,,285225,285225,,01/01/1968,
U.S. Bank National Association,HIGHLAND PARK BRANCH,6301 N Figueroa St,Los Angeles,CA,90042,Los Angeles,,285234,285234,,07/01/1996,
East West Bank,SILVERLAKE BRANCH,2496 Glendale Blvd,Los Angeles,CA,90039,Los Angeles,,285349,285349,,01/01/1972,
East West Bank,LINCOLN HEIGHTS BRANCH,2601 N Broadway,Los Angeles,CA,90031,Los Angeles,,285356,285356,,06/30/1987,
East West Bank,LOS ANGELES CHINATOWN BRANCH,900 N Broadway,Los Angeles,CA,90012,Los Angeles,,285364,285364,,12/02/1996,
"Bank of America, National Association",BALDWIN HILLS VILLAGE BRANCH,3615 S La Brea Ave,Los Angeles,CA,90016,Los Angeles,,285370,285370,,01/01/1886,
East West Bank,LA CHINATOWN - HILL BRANCH,767 N Hill St,Los Angeles,CA,90012,Los Angeles,,285656,285656,,06/30/1985,
"JPMorgan Chase Bank, National Association",RANCHO PARK BRANCH,10701 W Pico Blvd,Los Angeles,CA,90064,Los Angeles,,288606,288606,,12/27/1988,
"JPMorgan Chase Bank, National Association",WATTS BRANCH,10221 Compton Ave,Los Angeles,CA,90002,Los Angeles,,288770,288770,,09/15/1997,
"Citibank, National Association",LOS ANGELES BRANCH,211 S Central Ave,Los Angeles,CA,90012,Los Angeles,,289215,289215,,06/15/1990,
Bank of Hope,SAN PEDRO MART BRANCH,1100 S San Pedro St Unit L21-L25,Los Angeles,CA,90015,Los Angeles,,289617,289617,,04/12/1996,
Woori America Bank,WILSHIRE BRANCH,3540 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,32295,32295,,04/15/1980,
"Citibank, National Association",LA MAIN,787 W 5th St,Los Angeles,CA,90071,Los Angeles,,32456,32456,,03/11/1985,
Columbia Bank,BRENTWOOD BRANCH,11661 San Vicente Blvd,Los Angeles,CA,90049,Los Angeles,,334398,334398,,04/03/2000,
Bank of Hope,Bank of Hope,3200 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,35331,35331,,03/18/1986,
"Citibank, National Association",SOUTH VERNONT BRANCH,3615 S Vermont Ave,Los Angeles,CA,90007,Los Angeles,,356959,356959,,11/09/1998,
"Wells Fargo Bank, National Association",LITTLE TOKYO  BRANCH,232 E 2nd St,Los Angeles,CA,90012,Los Angeles,,358780,358780,,08/23/2000,
U.S. Bank National Association,BOYLE HEIGHTS BRANCH,2708 E 1st St,Los Angeles,CA,90033,Los Angeles,,360915,360915,,04/06/2001,
U.S. Bank National Association,SLAUSON & CRENSHAW BRANCH,5760 Crenshaw Blvd,Los Angeles,CA,90043,Los Angeles,,360917,360917,,05/16/2001,
PCB Bank,PCB Bank,3701 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,363895,363895,,09/18/2003,
Bank of Hope,WILSHIRE-HARVARD BRANCH,3600 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,364293,364293,,06/30/2000,
"City First Bank, National Association",SOUTH FIGUEROA STREET BRANCH,4001 S Figueroa St,Los Angeles,CA,90037,Los Angeles,,364807,364807,,08/09/1999,
Bank of Hope,OLYMPIC - HOOVER BRANCH,2222 W Olympic Blvd,Los Angeles,CA,90006,Los Angeles,,365233,365233,,01/01/2002,
